agent,model,model_raw,condition,label,mean_prob,n_points
alpha,GLM-5,z-ai/glm-5,positive,contradiction,0.23703905496200606,150
alpha,GPT-5.4,openai/gpt-5.4,negative,entailment,0.5741027938089489,150
alpha,GPT-5.4,openai/gpt-5.4,negative,neutral,0.4249894189617286,150
alpha,GPT-5.4,openai/gpt-5.4,negative,contradiction,0.0009077881223978087,150
alpha,GPT-5.4,openai/gpt-5.4,baseline,entailment,0.6528183858996878,75
alpha,GPT-5.4,openai/gpt-5.4,baseline,neutral,0.3458136650857826,75
alpha,GPT-5.4,openai/gpt-5.4,baseline,contradiction,0.0013679407471984936,75
alpha,GPT-5.4,openai/gpt-5.4,positive,entailment,0.3444241682335269,150
alpha,GPT-5.4,openai/gpt-5.4,positive,neutral,0.4418409519196333,150
alpha,GPT-5.4,openai/gpt-5.4,positive,contradiction,0.2137348793089768,150
alpha,GPT-OSS-120B,openai/gpt-oss-120b,negative,entailment,0.4660842059052084,150
alpha,GPT-OSS-120B,openai/gpt-oss-120b,negative,neutral,0.527610266119785,150
alpha,GPT-OSS-120B,openai/gpt-oss-120b,negative,contradiction,0.006305527213019862,150
alpha,GPT-OSS-120B,openai/gpt-oss-120b,baseline,entailment,0.5032006580283632,75
alpha,GPT-OSS-120B,openai/gpt-oss-120b,baseline,neutral,0.47497073243915416,75
alpha,GPT-OSS-120B,openai/gpt-oss-120b,baseline,contradiction,0.021828607648349135,75
alpha,GPT-OSS-120B,openai/gpt-oss-120b,positive,entailment,0.3506275681832388,150
alpha,GPT-OSS-120B,openai/gpt-oss-120b,positive,neutral,0.5783714328564625,150
alpha,GPT-OSS-120B,openai/gpt-oss-120b,positive,contradiction,0.0710009989686417,150
alpha,Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite-preview,negative,entailment,0.3031013149094118,150
alpha,Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite-preview,negative,neutral,0.6772468552583207,150
alpha,Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite-preview,negative,contradiction,0.01965182838270266,150
alpha,Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite-preview,baseline,entailment,0.2767209191414683,75
alpha,Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite-preview,baseline,neutral,0.6800853990235677,75
alpha,Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite-preview,baseline,contradiction,0.04319368386485924,75
alpha,Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite-preview,positive,entailment,0.18587792262245784,150
alpha,Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite-preview,positive,neutral,0.7118118388423075,150
alpha,Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite-preview,positive,contradiction,0.10231023746227341,150
alpha,Gemini 3.1 Pro,google/gemini-3.1-pro-preview,negative,entailment,0.3741356131172021,150
alpha,Gemini 3.1 Pro,google/gemini-3.1-pro-preview,negative,neutral,0.6105604488022315,150
alpha,Gemini 3.1 Pro,google/gemini-3.1-pro-preview,negative,contradiction,0.015303934573191024,150
alpha,Gemini 3.1 Pro,google/gemini-3.1-pro-preview,baseline,entailment,0.4161659007606795,75
alpha,Gemini 3.1 Pro,google/gemini-3.1-pro-preview,baseline,neutral,0.5628245717124082,75
alpha,Gemini 3.1 Pro,google/gemini-3.1-pro-preview,baseline,contradiction,0.021009527932765195,75
alpha,Gemini 3.1 Pro,google/gemini-3.1-pro-preview,positive,entailment,0.04085573560097449,150
alpha,Gemini 3.1 Pro,google/gemini-3.1-pro-preview,positive,neutral,0.3633431574028994,150
alpha,Gemini 3.1 Pro,google/gemini-3.1-pro-preview,positive,contradiction,0.5958011050423859,150
alpha,Grok 4,x-ai/grok-4,negative,entailment,0.2910543583694865,150
alpha,Grok 4,x-ai/grok-4,negative,neutral,0.7072486557144051,150
alpha,Grok 4,x-ai/grok-4,negative,contradiction,0.0016969875234402328,150
alpha,Grok 4,x-ai/grok-4,baseline,entailment,0.33497958968238284,75
alpha,Grok 4,x-ai/grok-4,baseline,neutral,0.6584819949464873,75
alpha,Grok 4,x-ai/grok-4,baseline,contradiction,0.006538416518014856,75
alpha,Grok 4,x-ai/grok-4,positive,entailment,0.049180392537794736,150
alpha,Grok 4,x-ai/grok-4,positive,neutral,0.4992519961002108,150
alpha,Grok 4,x-ai/grok-4,positive,contradiction,0.45156761100598186,150
alpha,MiniMax M2.7,minimax/minimax-m2.7,negative,entailment,0.19811134956927465,150
alpha,MiniMax M2.7,minimax/minimax-m2.7,negative,neutral,0.7937587524733196,150
alpha,MiniMax M2.7,minimax/minimax-m2.7,negative,contradiction,0.008129902382643195,150
alpha,MiniMax M2.7,minimax/minimax-m2.7,baseline,entailment,0.24809745957764487,75
alpha,MiniMax M2.7,minimax/minimax-m2.7,baseline,neutral,0.7251819039493178,75
alpha,MiniMax M2.7,minimax/minimax-m2.7,baseline,contradiction,0.026720635492917307,75
alpha,MiniMax M2.7,minimax/minimax-m2.7,positive,entailment,0.16328279960056535,150
alpha,MiniMax M2.7,minimax/minimax-m2.7,positive,neutral,0.783260360439308,150
alpha,MiniMax M2.7,minimax/minimax-m2.7,positive,contradiction,0.05345683782342045,150
alpha,Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,negative,entailment,0.30295702170192573,150
alpha,Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,negative,neutral,0.6778280233673286,150
alpha,Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,negative,contradiction,0.01921495592459299,150
alpha,Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,baseline,entailment,0.33427849716332275,75
alpha,Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,baseline,neutral,0.6634052234422415,75
alpha,Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,baseline,contradiction,0.0023162753148062622,75
alpha,Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,positive,entailment,0.1668504379253621,150
alpha,Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,positive,neutral,0.7537715595120487,150
alpha,Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,positive,contradiction,0.07937800026823728,150
