panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,point_index,x,y,row,col,value
0,public + OTR,Debate turn,survey question,rectilinear,line,22,_child53,0.0,0.0,15.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,22,_child53,1.0,1.0,15.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,23,_child54,0.0,0.0,17.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,23,_child54,1.0,1.0,17.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,24,_child55,0.0,0.0,19.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,24,_child55,1.0,1.0,19.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,25,_child56,0.0,0.0,21.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,25,_child56,1.0,1.0,21.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,26,_child57,0.0,0.0,23.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,26,_child57,1.0,1.0,23.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,27,_child58,0.0,0.0,25.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,27,_child58,1.0,1.0,25.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,28,_child59,0.0,0.0,27.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,28,_child59,1.0,1.0,27.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,0.0,0.0,-1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,0.0,1.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,0.0,2.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,0.0,3.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,0.0,4.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,1.0,0.0,-1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,1.0,1.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,1.0,2.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,1.0,3.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,1.0,4.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,2.0,0.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,2.0,1.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,2.0,2.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,2.0,3.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,2.0,4.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,3.0,0.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,3.0,1.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,3.0,2.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,3.0,3.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,3.0,4.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,4.0,0.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,4.0,1.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,4.0,2.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,4.0,3.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,4.0,4.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,5.0,0.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,5.0,1.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,5.0,2.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,5.0,3.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,5.0,4.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,6.0,0.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,6.0,1.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,6.0,2.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,6.0,3.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,6.0,4.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,7.0,0.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,7.0,1.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,7.0,2.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,7.0,3.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,7.0,4.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,8.0,0.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,8.0,1.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,8.0,2.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,8.0,3.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,8.0,4.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,9.0,0.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,9.0,1.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,9.0,2.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,9.0,3.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,9.0,4.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,10.0,0.0,-1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,10.0,1.0,-1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,10.0,2.0,-1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,10.0,3.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,10.0,4.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,11.0,0.0,-1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,11.0,1.0,-1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,11.0,2.0,-1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,11.0,3.0,-1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,11.0,4.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,12.0,0.0,-1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,12.0,1.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,12.0,2.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,12.0,3.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,12.0,4.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,13.0,0.0,-1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,13.0,1.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,13.0,2.0,-1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,13.0,3.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,13.0,4.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,14.0,0.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,14.0,1.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,14.0,2.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,14.0,3.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,14.0,4.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,15.0,0.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,15.0,1.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,15.0,2.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,15.0,3.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,15.0,4.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,16.0,0.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,16.0,1.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,16.0,2.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,16.0,3.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,16.0,4.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,17.0,0.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,17.0,1.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,17.0,2.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,17.0,3.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,17.0,4.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,18.0,0.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,18.0,1.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,18.0,2.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,18.0,3.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,18.0,4.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,19.0,0.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,19.0,1.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,19.0,2.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,19.0,3.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,19.0,4.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,20.0,0.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,20.0,1.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,20.0,2.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,20.0,3.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,20.0,4.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,21.0,0.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,21.0,1.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,21.0,2.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,21.0,3.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,21.0,4.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,22.0,0.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,22.0,1.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,22.0,2.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,22.0,3.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,22.0,4.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,23.0,0.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,23.0,1.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,23.0,2.0,2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,23.0,3.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,23.0,4.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,24.0,0.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,24.0,1.0,-1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,24.0,2.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,24.0,3.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,24.0,4.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,25.0,0.0,-1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,25.0,1.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,25.0,2.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,25.0,3.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,25.0,4.0,-2.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,26.0,0.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,26.0,1.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,26.0,2.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,26.0,3.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,26.0,4.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,27.0,0.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,27.0,1.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,27.0,2.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,27.0,3.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,27.0,4.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,28.0,0.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,28.0,1.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,28.0,2.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,28.0,3.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,28.0,4.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,29.0,0.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,29.0,1.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,29.0,2.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,29.0,3.0,1.0
0,public + OTR,Debate turn,survey question,rectilinear,image,0,_child0,,,,29.0,4.0,1.0
1,,,Likert score,rectilinear,collection,0,_child0,0.0,0.0,0.0,,,
1,,,Likert score,rectilinear,collection,1,_child1,0.0,0.0,0.0,,,
