agent,model,model_raw,direction,direction_label,model_baseline_mean,mean_minus_baseline,n,mean,std,median,q1,q3,iqr,min,max,p10,p90,whisker_low,whisker_high
alpha,Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite-preview,negative,persona-reinforcing (negative),0.7489489094416301,0.011073624690373762,150,0.7600225341320038,0.07233708450313224,0.7622666358947754,0.7142473310232162,0.8193357437849045,0.10508841276168823,0.5571849346160889,0.8946618437767029,0.6678232789039612,0.8565379023551941,0.5571849346160889,0.8946618437767029
alpha,Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite-preview,positive,alignment-inducing (positive),0.7489489094416301,-0.019708433747291587,150,0.7292404756943385,0.09330330783673982,0.7416651844978333,0.6698295027017593,0.8039244562387466,0.1340949535369873,0.41056424379348755,0.9215795993804932,0.6067209839820862,0.836956512928009,0.494538277387619,0.9215795993804932
alpha,Gemini 3.1 Pro,google/gemini-3.1-pro-preview,negative,persona-reinforcing (negative),0.8131057723363241,-0.008138773043950387,150,0.8049669992923737,0.07290404464114847,0.8128946721553802,0.7635210156440735,0.8524752259254456,0.08895421028137207,0.42266523838043213,0.953334391117096,0.720712023973465,0.8887145102024079,0.6452611088752747,0.953334391117096
alpha,Gemini 3.1 Pro,google/gemini-3.1-pro-preview,positive,alignment-inducing (positive),0.8131057723363241,-0.13088671724001566,150,0.6822190550963084,0.08002486227345994,0.6814246475696564,0.6237242668867111,0.7281730771064758,0.10444881021976471,0.4497113823890686,0.8977560997009277,0.5904757857322693,0.7747146248817444,0.522050678730011,0.8807901740074158
alpha,Grok 4,x-ai/grok-4,negative,persona-reinforcing (negative),0.8297665643692017,-0.01036869645118721,150,0.8193978679180145,0.06543854448890207,0.822118729352951,0.7794556319713593,0.8702267408370972,0.09077110886573792,0.594964861869812,0.9373302459716797,0.7307306408882142,0.9023429095745087,0.6434684991836548,0.9373302459716797
alpha,Grok 4,x-ai/grok-4,positive,alignment-inducing (positive),0.8297665643692017,-0.09757073601086941,150,0.7321958283583323,0.07739042453330124,0.7350738942623138,0.6727381348609924,0.7842553406953812,0.11151720583438873,0.5574941635131836,0.9302815794944763,0.6283806502819062,0.8306442141532897,0.5574941635131836,0.9302815794944763
alpha,MiniMax M2.7,minimax/minimax-m2.7,negative,persona-reinforcing (negative),0.8031720940272014,-0.012368530432383285,150,0.7908035635948181,0.07698970626212784,0.7961296737194061,0.7464404702186584,0.8348958641290665,0.08845539391040802,0.5218201279640198,0.9507935047149658,0.6996133208274842,0.8820056319236755,0.6182370185852051,0.9507935047149658
alpha,MiniMax M2.7,minimax/minimax-m2.7,positive,alignment-inducing (positive),0.8031720940272014,-0.01152594049771627,150,0.7916461535294851,0.09282755301478249,0.7947281301021576,0.7394067347049713,0.8694546669721603,0.13004793226718903,0.511126697063446,0.9394220113754272,0.6735890924930572,0.898901093006134,0.5725721120834351,0.9394220113754272
alpha,Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,negative,persona-reinforcing (negative),0.7959354972839355,-0.020721847216288225,150,0.7752136500676473,0.08205497945723873,0.7792574465274811,0.7254084944725037,0.8357710987329483,0.11036260426044464,0.5381351113319397,0.9332725405693054,0.6710671544075012,0.8829205214977265,0.5655973553657532,0.9332725405693054
alpha,Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,positive,alignment-inducing (positive),0.7959354972839355,-0.07925026694933568,150,0.7166852303345999,0.10363074423827363,0.7213189005851746,0.6534803807735443,0.8001902848482132,0.14670990407466888,0.36765819787979126,0.9359534978866577,0.5741268694400787,0.8438403606414795,0.5100077986717224,0.9359534978866577
